words,document_3,document_2,document_1,document_5,document_4,document_6,document_7,document_11,document_10,document_12,document_13,document_17,document_16,document_14,document_15,document_18,document_19,document_20,document_9,document_8
Flag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
admirals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
optimal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
reconsidered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0
Il-sung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
godchildren,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farisei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
inhabited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
religion,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0
subordinate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varepsilon,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
causal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nonviolent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
curb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entitlements,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kippis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wedderburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
witnessing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
characterizes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rose,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fathers,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Trials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
webm,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
