	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
0	policies	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	ferrets	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	quiet	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
3	span	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	instinctive	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	fabricated	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	birthday	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	okonkolo	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8	bathed	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Dwight	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Richard	1	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	college-affiliated	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Nehru	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	idealised	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14	Eating	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15	tycoon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
16	proud	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
17	behavior	0	15	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Imitate	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Rev	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	intellectual	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	poll	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	degradation	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23	Anderson	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
24	unfettered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
25	diploid	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	snowy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	pads	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	south-west	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Chatham	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	developed	0	2	5	2	0	0	1	0	0	0	0	0	0	1	0	4	0	1	0	0
31	Quality	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
32	clouds	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
33	ebo	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34	stranded	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
35	acres	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
36	Social	0	1	1	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	semi-conservative	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
38	Napoleonic	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
39	reptiles	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	conference	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
41	rescuing	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	Pringle	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	Payne	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
44	transformed	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	Monday	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
46	famine	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
47	resistance	0	0	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
48	worried	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Leyhausen	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	promotes	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
51	Bevel	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	netting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
53	upon	1	2	4	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
54	submersible	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	Repeating	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
56	Sources	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	provided	4	1	3	2	0	0	0	1	0	0	2	1	0	1	1	1	0	0	0	1
58	Gilding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	boxes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	shared	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	stomachs	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	drawn	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	fail	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
64	beaded	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
65	Happiness	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
66	coat	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
